Year,Round,Pick,Player,Team,Reg_Win,Reg_Loss,Reg_Tie,Reg_Games,Playoff_Seed,Playoff_Win,Playoff_Loss,Playoff_Games,Total_Win,Total_Loss,Total_Tie,Total_Games,Reg_Win%,Playoff_Win%,Total_Win%
2018,99,31,Leftover,Dolphins,7.0,9.0,0.0,16.0,,,,,7.0,9.0,0.0,16.0,0.4375,,0.4375
2018,99,32,Leftover,Buccaneers,5.0,11.0,0.0,16.0,,,,,5.0,11.0,0.0,16.0,0.3125,,0.3125
2017,1,1,Alex,Patriots,13.0,3.0,0.0,16.0,1.0,2.0,1.0,3.0,15.0,4.0,0.0,19.0,0.8125,0.6666666666666666,0.7894736842105263
2017,1,2,Mike,Seahawks,9.0,7.0,0.0,16.0,,,,,9.0,7.0,0.0,16.0,0.5625,,0.5625
2017,1,3,Dan,Steelers,13.0,3.0,0.0,16.0,2.0,0.0,1.0,1.0,13.0,4.0,0.0,17.0,0.8125,0.0,0.7647058823529411
2017,1,4,JP,Packers,7.0,9.0,0.0,16.0,,,,,7.0,9.0,0.0,16.0,0.4375,,0.4375
2017,1,5,Jackson,Falcons,10.0,6.0,0.0,16.0,6.0,1.0,1.0,2.0,11.0,7.0,0.0,18.0,0.625,0.5,0.6111111111111112
2017,1,6,Jordan,Raiders,6.0,10.0,0.0,16.0,,,,,6.0,10.0,0.0,16.0,0.375,,0.375
2017,1,7,Brandon,Cowboys,9.0,7.0,0.0,16.0,,,,,9.0,7.0,0.0,16.0,0.5625,,0.5625
2017,2,8,Brandon,Panthers,11.0,5.0,0.0,16.0,5.0,0.0,1.0,1.0,11.0,6.0,0.0,17.0,0.6875,0.0,0.6470588235294118
2017,2,9,Jordan,Texans,4.0,12.0,0.0,16.0,,,,,4.0,12.0,0.0,16.0,0.25,,0.25
2017,2,10,Jackson,Chiefs,10.0,6.0,0.0,16.0,4.0,0.0,1.0,1.0,10.0,7.0,0.0,17.0,0.625,0.0,0.5882352941176471
2017,2,11,JP,Buccaneers,5.0,11.0,0.0,16.0,,,,,5.0,11.0,0.0,16.0,0.3125,,0.3125
2017,2,12,Dan,Cardinals,8.0,8.0,0.0,16.0,,,,,8.0,8.0,0.0,16.0,0.5,,0.5
2017,2,13,Mike,Ravens,9.0,7.0,0.0,16.0,,,,,9.0,7.0,0.0,16.0,0.5625,,0.5625
2017,2,14,Alex,Titans,9.0,7.0,0.0,16.0,5.0,1.0,1.0,2.0,10.0,8.0,0.0,18.0,0.5625,0.5,0.5555555555555556
2017,3,15,Alex,Giants,3.0,13.0,0.0,16.0,,,,,3.0,13.0,0.0,16.0,0.1875,,0.1875
2017,3,16,Mike,Dolphins,6.0,10.0,0.0,16.0,,,,,6.0,10.0,0.0,16.0,0.375,,0.375
2017,3,17,Dan,Saints,11.0,5.0,0.0,16.0,4.0,1.0,1.0,2.0,12.0,6.0,0.0,18.0,0.6875,0.5,0.6666666666666666
2017,3,18,JP,Vikings,13.0,3.0,0.0,16.0,2.0,1.0,1.0,2.0,14.0,4.0,0.0,18.0,0.8125,0.5,0.7777777777777778
2017,3,19,Jackson,Broncos,5.0,11.0,0.0,16.0,,,,,5.0,11.0,0.0,16.0,0.3125,,0.3125
2017,3,20,Jordan,Bengals,7.0,9.0,0.0,16.0,,,,,7.0,9.0,0.0,16.0,0.4375,,0.4375
2017,3,21,Brandon,Chargers,9.0,7.0,0.0,16.0,,,,,9.0,7.0,0.0,16.0,0.5625,,0.5625
2017,4,22,Brandon,Redskins,7.0,9.0,0.0,16.0,,,,,7.0,9.0,0.0,16.0,0.4375,,0.4375
2017,4,23,Jordan,Lions,9.0,7.0,0.0,16.0,,,,,9.0,7.0,0.0,16.0,0.5625,,0.5625
2017,4,24,Jackson,Eagles,13.0,3.0,0.0,16.0,1.0,3.0,0.0,3.0,16.0,3.0,0.0,19.0,0.8125,1.0,0.8421052631578947
2017,4,25,JP,Rams,11.0,5.0,0.0,16.0,3.0,0.0,1.0,1.0,11.0,6.0,0.0,17.0,0.6875,0.0,0.6470588235294118
2017,4,26,Dan,Colts,4.0,12.0,0.0,16.0,,,,,4.0,12.0,0.0,16.0,0.25,,0.25
2017,4,27,Mike,49ers,6.0,10.0,0.0,16.0,,,,,6.0,10.0,0.0,16.0,0.375,,0.375
2017,4,28,Alex,Bears,5.0,11.0,0.0,16.0,,,,,5.0,11.0,0.0,16.0,0.3125,,0.3125
2017,99,29,Leftover,Jaguars,10.0,6.0,0.0,16.0,3.0,2.0,1.0,3.0,12.0,7.0,0.0,19.0,0.625,0.6666666666666666,0.631578947368421
2017,99,30,Leftover,Bills,9.0,7.0,0.0,16.0,6.0,0.0,1.0,1.0,9.0,8.0,0.0,17.0,0.5625,0.0,0.5294117647058824
2017,99,31,Leftover,Jets,5.0,11.0,0.0,16.0,,,,,5.0,11.0,0.0,16.0,0.3125,,0.3125
2017,99,32,Leftover,Browns,0.0,16.0,0.0,16.0,,,,,0.0,16.0,0.0,16.0,0.0,,0.0
